name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2022-11-11,20,14.8,17.5,20,14.8,17.5,15.3,87,22.652,100,41.67,rain,0,0,60.8,22.3,138.5,1014.8,96.1,11.4,145.3,12.6,1,10,2022-11-11T06:38:12,2022-11-11T16:41:29,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-12,20.2,16.3,19.1,20.2,16.3,19.1,13.2,70.3,1.862,100,16.67,rain,0,0,58,21.1,258,1002.9,75.3,14.7,216.8,18.4,5,10,2022-11-12T06:39:23,2022-11-12T16:40:33,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-13,15.9,5.9,10.4,15.9,3.4,9.4,3.6,64,0.862,100,12.5,rain,0,0,51.3,29.5,317.6,1012.1,79.2,15.9,198.9,17.1,7,10,2022-11-13T06:40:34,2022-11-13T16:39:39,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-14,7,3.5,5,5,-2.3,2.1,-4.8,49.5,0,0,0,,0,0,47.9,37.1,311.3,1026.1,12.1,16,235.3,20.7,6,10,2022-11-14T06:41:45,2022-11-14T16:38:47,0.7,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-15,7.9,2.4,4.7,5.5,-0.4,2.1,-2.7,59.5,10.346,100,20.83,rain,0,0,46.8,23.4,45,1028.9,69.3,14.8,154.7,13.6,2,10,2022-11-15T06:42:56,2022-11-15T16:37:57,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-16,10,4.5,7,7.6,0.5,4,2.3,73.7,9.6,100,37.5,rain,0,0,55.1,25.4,314.5,1013.4,85.3,12.4,206.2,17.9,7,10,2022-11-16T06:44:07,2022-11-16T16:37:09,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-17,7.5,3.5,4.8,4.5,-0.5,1.5,-4.4,51.9,0,0,0,,0,0,43.9,21.9,264.8,1014.3,61.5,16,242.4,21.1,7,10,2022-11-17T06:45:17,2022-11-17T16:36:23,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-18,6.3,1.6,3.9,3.9,-2.9,0.6,-6.3,48.6,0,0,0,,0,0,50.8,29.5,256.4,1019.2,27.9,16,207.3,18.1,5,10,2022-11-18T06:46:27,2022-11-18T16:35:39,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F3861,72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-19,4.4,0.2,2.3,3.7,-4.1,-0.8,-8.7,44.3,0,0,0,,0,0,47.9,18.7,257.6,1021.5,6.3,16,226.2,19.9,6,10,2022-11-19T06:47:37,2022-11-19T16:34:56,0.86,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-20,3.7,-1,1.4,1.3,-5.8,-3.1,-12.1,36.5,0,0,0,,0,0,50.5,29.4,280.2,1020.1,18.8,16,184.2,16,5,10,2022-11-20T06:48:46,2022-11-20T16:34:16,0.9,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-21,5,-2.4,1.6,2,-6.2,-1.9,-11.2,39.1,0,0,0,,0,0,46.4,24.1,232.2,1028.6,6,15.9,111.7,9.7,5,10,2022-11-21T06:49:55,2022-11-21T16:33:38,0.93,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-22,10.7,3.4,6.9,10.7,0.1,4.9,-5.8,40.9,0,0,0,,0,0,37.1,18.1,248.7,1025.9,5.7,16,113,9.5,5,10,2022-11-22T06:51:03,2022-11-22T16:33:02,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-23,12.9,6.4,9.1,12.9,4.5,8.3,-4.9,37.1,0,0,0,,0,0,33.5,16.3,317.3,1023.5,0.9,16,112,9.5,5,10,2022-11-23T06:52:11,2022-11-23T16:32:28,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-24,11.7,4.5,8.2,11.7,2.6,7.2,0.4,58.4,0,0,0,,0,0,29.5,10.8,104.7,1027.5,10.8,16,105,9.2,5,10,2022-11-24T06:53:19,2022-11-24T16:31:56,0.03,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-25,12.9,8.3,9.9,12.9,4.7,8.3,3.5,65.7,0.44,100,8.33,rain,0,0,48.8,26.3,265.4,1013.6,67.5,14.5,51.5,4.5,6,10,2022-11-25T06:54:26,2022-11-25T16:31:26,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-11-26,13.5,6.3,9.6,13.5,3.2,8.2,-3.4,40.4,0,0,0,,0,0,51.8,22.5,291.5,1015.7,26.8,16,116.7,10,5,10,2022-11-26T06:55:32,2022-11-26T16:30:59,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-27,15.2,9.4,11.4,15.2,7.9,11.1,4,63.8,17.18,100,29.17,rain,0,0,50,35.3,222.1,1006.3,54.4,13.2,20.1,1.6,1,10,2022-11-27T06:56:37,2022-11-27T16:30:33,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-11-28,13,5.8,10.2,13,3.4,9.3,3.1,61.8,0,0,0,,0,0,53.5,24.2,292.7,1006.3,32.8,16,86.6,7.4,4,10,2022-11-28T06:57:42,2022-11-28T16:30:10,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-29,6.2,2.5,4.6,6,0.7,3.4,-2.5,60,0,0,0,,0,0,25.9,13,17.6,1024.3,49.2,16,41.5,3.5,2,10,2022-11-29T06:58:45,2022-11-29T16:29:49,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
"New York City,USA",2022-11-30,14.4,4.8,9.5,14.4,1.9,8.7,4.8,73.7,10.084,100,29.17,rain,0,0,71.2,42.5,213.8,1013.9,81.6,13.7,8.2,0.7,0,10,2022-11-30T06:59:48,2022-11-30T16:29:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-12-01,5.9,2.4,4.1,2.2,-2.9,0.2,-7.6,42.6,0,0,0,,0,0,53.6,40.7,286.2,1023.2,29.7,15.8,69.7,6.1,5,10,2022-12-01T07:00:50,2022-12-01T16:29:14,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
